iter	Passed	Remaining
0	1	132
1	2	126
2	3	126
3	4	118
4	6	114
5	7	113
6	8	110
7	9	109
8	10	108
9	12	110
10	13	109
11	14	109
12	16	107
13	17	107
14	18	105
15	19	103
16	21	102
17	22	101
18	23	100
19	24	98
20	26	98
21	27	97
22	28	96
23	30	95
24	31	94
25	32	93
26	33	91
27	35	90
28	36	88
29	37	87
30	38	86
31	40	85
32	41	84
33	43	83
34	44	82
35	45	81
36	47	80
37	48	79
38	49	77
39	51	76
40	52	75
41	52	73
42	54	71
43	55	70
44	56	69
45	59	69
46	61	69
47	63	68
48	64	67
49	66	66
50	67	64
51	68	63
52	69	61
53	71	60
54	72	59
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	87	45
66	90	44
67	93	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	103	36
74	104	34
75	105	33
76	107	31
77	108	30
78	109	29
79	110	27
80	112	26
81	113	24
82	114	23
83	116	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	127	9
93	129	8
94	131	6
95	133	5
96	134	4
97	136	2
98	137	1
99	138	0
