iter	Passed	Remaining
0	239	239111
1	240	120003
2	241	80213
3	242	60395
4	243	48475
5	244	40518
6	245	34835
7	246	30588
8	247	27269
9	248	24612
10	249	22441
11	250	20632
12	251	19110
13	252	17791
14	253	16661
15	254	15672
16	256	14812
17	257	14037
18	258	13344
19	259	12718
20	260	12151
21	261	11627
22	262	11155
23	263	10720
24	264	10318
25	265	9948
26	266	9606
27	267	9291
28	268	8995
29	269	8724
30	270	8465
31	271	8218
32	272	7988
33	273	7767
34	274	7560
35	275	7367
36	276	7185
37	277	7013
38	277	6848
39	278	6689
40	279	6539
41	280	6397
42	281	6260
43	282	6132
44	283	6017
45	284	5903
46	285	5792
47	286	5682
48	287	5577
49	288	5480
50	289	5384
51	290	5290
52	291	5201
53	292	5116
54	293	5034
55	294	4956
56	294	4878
57	295	4804
58	296	4732
59	297	4663
60	298	4597
61	299	4537
62	300	4474
63	301	4414
64	302	4353
65	303	4296
66	304	4239
67	305	4183
68	306	4130
69	307	4079
70	307	4029
71	308	3980
72	309	3932
73	310	3885
74	311	3841
75	312	3798
76	313	3757
77	314	3718
78	315	3677
79	316	3639
80	317	3599
81	318	3562
82	318	3520
83	319	3483
84	320	3447
85	321	3413
86	321	3379
87	322	3346
88	323	3313
89	324	3282
90	325	3250
91	326	3220
92	327	3190
93	328	3162
94	329	3136
95	330	3108
96	330	3081
97	331	3054
98	332	3027
99	333	3001
100	334	2975
101	335	2950
102	336	2927
103	337	2904
104	338	2881
105	339	2860
106	339	2837
107	340	2814
108	341	2793
109	342	2771
110	343	2751
111	344	2732
112	345	2712
113	346	2692
114	347	2673
115	348	2654
116	349	2634
117	350	2616
118	350	2597
119	351	2578
120	352	2561
121	353	2542
122	354	2525
123	355	2509
124	356	2492
125	356	2476
126	357	2459
127	358	2445
128	359	2429
129	360	2413
130	361	2398
131	362	2384
132	363	2370
133	364	2356
134	365	2343
135	366	2330
136	367	2317
137	368	2304
138	370	2292
139	370	2278
140	371	2265
141	372	2250
142	373	2238
143	374	2225
144	375	2213
145	376	2201
146	377	2188
147	377	2175
148	379	2164
149	380	2153
150	380	2141
151	381	2130
152	382	2119
153	383	2108
154	384	2097
155	385	2086
156	386	2075
157	387	2066
158	389	2057
159	389	2047
160	390	2035
161	391	2026
162	392	2016
163	393	2006
164	394	1996
165	395	1986
166	396	1976
167	397	1966
168	398	1957
169	399	1948
170	400	1939
171	400	1930
172	401	1921
173	403	1913
174	403	1904
175	404	1895
176	405	1886
177	406	1877
178	407	1869
179	408	1860
180	409	1852
181	410	1844
182	411	1835
183	412	1827
184	412	1818
185	413	1810
186	414	1802
187	415	1794
188	416	1787
189	417	1781
190	419	1775
191	420	1767
192	420	1759
193	421	1752
194	422	1745
195	423	1737
196	424	1730
197	425	1722
198	426	1715
199	427	1708
200	427	1700
201	428	1693
202	429	1686
203	430	1678
204	431	1672
205	432	1665
206	433	1658
207	434	1652
208	435	1646
209	436	1640
210	437	1634
211	437	1627
212	438	1621
213	439	1615
214	440	1609
215	441	1602
216	442	1596
217	443	1591
218	444	1586
219	445	1579
220	446	1574
221	447	1568
222	448	1562
223	449	1556
224	450	1550
225	450	1544
226	452	1539
227	452	1533
228	453	1527
229	454	1522
230	455	1516
231	456	1511
232	457	1506
233	458	1501
234	459	1496
235	460	1491
236	461	1486
237	462	1480
238	463	1475
239	464	1470
240	465	1465
241	466	1460
242	467	1455
243	468	1450
244	468	1445
245	469	1440
246	470	1435
247	471	1429
248	472	1425
249	473	1420
250	474	1416
251	475	1411
252	476	1407
253	477	1402
254	478	1397
255	479	1392
256	479	1387
257	480	1382
258	481	1377
259	482	1373
260	483	1368
261	484	1363
262	484	1359
263	485	1354
264	486	1349
265	487	1345
266	488	1340
267	489	1336
268	490	1332
269	491	1328
270	492	1324
271	493	1319
272	493	1315
273	494	1310
274	495	1306
275	496	1302
276	497	1297
277	498	1293
278	498	1289
279	499	1284
280	500	1280
281	501	1276
282	502	1272
283	503	1269
284	504	1265
285	505	1261
286	506	1258
287	507	1254
288	508	1250
289	509	1247
290	510	1244
291	511	1240
292	512	1236
293	513	1232
294	514	1229
295	515	1225
296	516	1223
297	518	1220
298	519	1217
299	520	1213
300	521	1210
301	522	1206
302	522	1202
303	523	1199
304	524	1195
305	525	1192
306	526	1188
307	527	1185
308	528	1181
309	529	1178
310	530	1175
311	531	1172
312	532	1168
313	533	1165
314	534	1162
315	535	1159
316	536	1155
317	537	1152
318	538	1149
319	539	1145
320	540	1142
321	540	1138
322	541	1135
323	542	1132
324	543	1129
325	544	1126
326	546	1123
327	547	1121
328	548	1118
329	549	1115
330	550	1112
331	551	1109
332	552	1106
333	553	1103
334	554	1100
335	555	1097
336	556	1094
337	557	1091
338	558	1088
339	559	1085
340	559	1082
341	560	1078
342	561	1075
343	563	1074
344	564	1071
345	565	1067
346	565	1064
347	566	1061
348	567	1058
349	568	1055
350	569	1052
351	570	1050
352	571	1047
353	572	1044
354	573	1041
355	574	1038
356	575	1035
357	576	1033
358	577	1030
359	578	1027
360	578	1024
361	579	1021
362	580	1018
363	581	1016
364	582	1013
365	583	1010
366	584	1007
367	584	1004
368	585	1001
369	586	999
370	587	996
371	588	993
372	589	991
373	590	988
374	591	985
375	592	983
376	593	980
377	594	978
378	595	975
379	596	972
380	597	970
381	598	967
382	598	964
383	599	962
384	600	959
385	601	957
386	602	954
387	603	951
388	604	949
389	605	946
390	605	943
391	606	941
392	608	939
393	609	936
394	609	934
395	610	931
396	611	929
397	612	926
398	613	923
399	614	921
400	615	918
401	616	916
402	616	913
403	617	911
404	618	908
405	619	906
406	620	903
407	621	901
408	621	898
409	622	896
410	623	894
411	624	891
412	625	889
413	626	887
414	627	884
415	628	882
416	629	879
417	630	877
418	630	874
419	631	872
420	632	870
421	633	867
422	634	865
423	635	862
424	635	860
425	637	858
426	638	856
427	639	854
428	640	852
429	640	849
430	641	847
431	642	845
432	643	842
433	644	840
434	645	838
435	646	835
436	647	833
437	648	831
438	649	829
439	649	827
440	650	824
441	651	822
442	653	821
443	654	819
444	655	817
445	655	814
446	656	812
447	657	810
448	658	808
449	659	805
450	660	803
451	661	801
452	662	799
453	662	797
454	663	795
455	664	793
456	665	790
457	666	789
458	667	787
459	668	785
460	669	782
461	670	780
462	671	778
463	672	776
464	673	774
465	673	772
466	674	770
467	675	768
468	676	766
469	677	764
470	678	761
471	679	759
472	680	757
473	681	755
474	682	754
475	683	752
476	684	750
477	685	748
478	685	746
479	686	743
480	687	741
481	688	739
482	689	737
483	690	735
484	690	733
485	691	731
486	692	729
487	693	727
488	694	725
489	695	723
490	696	721
491	697	720
492	698	718
493	699	716
494	700	714
495	701	712
496	701	710
497	702	708
498	703	706
499	704	704
500	705	702
501	706	700
502	706	698
503	707	696
504	708	694
505	709	692
506	710	690
507	711	689
508	712	687
509	713	685
510	714	683
511	715	681
512	716	680
513	717	678
514	718	676
515	718	674
516	719	672
517	720	670
518	721	668
519	722	666
520	723	664
521	723	662
522	724	660
523	725	659
524	727	657
525	728	656
526	728	654
527	729	652
528	730	650
529	731	648
530	732	646
531	733	645
532	734	643
533	734	641
534	735	639
535	736	637
536	737	635
537	738	634
538	739	632
539	740	630
540	741	629
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	618
547	747	616
548	748	615
549	749	613
550	750	611
551	751	609
552	752	608
553	753	606
554	754	604
555	755	602
556	756	601
557	757	599
558	758	598
559	758	596
560	759	594
561	760	592
562	761	591
563	762	589
564	763	587
565	764	586
566	765	584
567	766	583
568	767	581
569	768	579
570	769	578
571	770	576
572	771	574
573	772	573
574	773	571
575	774	569
576	775	568
577	776	566
578	776	564
579	777	563
580	778	561
581	779	559
582	780	558
583	781	556
584	782	554
585	782	553
586	783	551
587	784	550
588	785	548
589	786	546
590	787	545
591	788	543
592	789	541
593	790	540
594	791	538
595	791	536
596	792	535
597	793	533
598	794	531
599	795	530
600	796	528
601	796	526
602	797	525
603	798	523
604	799	522
605	800	520
606	801	518
607	802	517
608	803	515
609	804	514
610	804	512
611	805	510
612	806	509
613	807	507
614	808	506
615	809	504
616	810	502
617	810	501
618	811	499
619	812	498
620	813	496
621	814	495
622	815	493
623	816	492
624	817	490
625	818	489
626	819	487
627	820	485
628	821	484
629	822	482
630	822	481
631	823	479
632	824	478
633	825	476
634	826	475
635	827	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	833	464
642	833	462
643	834	461
644	835	459
645	836	458
646	837	456
647	838	455
648	839	453
649	839	452
650	840	450
651	841	449
652	842	447
653	843	446
654	844	444
655	845	443
656	846	441
657	847	440
658	848	438
659	848	437
660	849	435
661	850	434
662	851	432
663	852	431
664	853	429
665	854	428
666	854	426
667	855	425
668	856	423
669	857	422
670	858	421
671	859	419
672	860	418
673	861	416
674	862	415
675	862	413
676	863	412
677	864	410
678	865	409
679	866	407
680	867	406
681	868	405
682	869	403
683	870	402
684	871	400
685	872	399
686	873	398
687	874	396
688	875	395
689	876	393
690	877	392
691	878	390
692	879	389
693	880	388
694	881	386
695	881	385
696	882	383
697	883	382
698	884	380
699	885	379
700	886	378
701	887	376
702	888	375
703	889	374
704	890	372
705	891	371
706	892	369
707	893	368
708	894	366
709	894	365
710	895	364
711	896	362
712	897	361
713	898	359
714	899	358
715	900	357
716	901	355
717	902	354
718	903	352
719	903	351
720	904	350
721	905	348
722	906	347
723	907	345
724	908	344
725	909	343
726	909	341
727	910	340
728	911	338
729	912	337
730	913	336
731	914	334
732	915	333
733	916	332
734	917	330
735	917	329
736	918	327
737	919	326
738	920	325
739	921	323
740	922	322
741	923	321
742	924	319
743	924	318
744	925	316
745	926	315
746	927	314
747	928	312
748	929	311
749	930	310
750	931	308
751	932	307
752	933	306
753	933	304
754	934	303
755	935	301
756	936	300
757	937	299
758	938	297
759	938	296
760	939	295
761	940	293
762	941	292
763	942	291
764	943	289
765	943	288
766	944	287
767	945	285
768	946	284
769	947	283
770	948	281
771	949	280
772	950	279
773	951	277
774	952	276
775	953	275
776	953	273
777	954	272
778	955	271
779	956	269
780	957	268
781	958	267
782	958	265
783	959	264
784	961	263
785	961	261
786	962	260
787	963	259
788	964	257
789	965	256
790	966	255
791	966	253
792	967	252
793	968	251
794	969	249
795	970	248
796	971	247
797	971	246
798	972	244
799	973	243
800	974	242
801	975	240
802	976	239
803	977	238
804	978	236
805	978	235
806	979	234
807	980	233
808	981	231
809	982	230
810	983	229
811	984	227
812	984	226
813	985	225
814	986	223
815	987	222
816	988	221
817	989	220
818	990	218
819	991	217
820	992	216
821	993	215
822	993	213
823	994	212
824	995	211
825	996	209
